#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
33        	4         	ok              	9.4480000000e-03	1.0640000000e+03	1.1822033224e+17	6.4315334629e+16	2.3680785899e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	4         	ok              	8.2030000000e-03	1.0591000000e+03	1.0311684081e+17	5.6098599657e+16	2.3680782445e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	4         	ok              	7.1230000000e-03	1.0548000000e+03	8.9905574557e+16	4.8911288084e+16	2.3680779284e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	4         	ok              	6.1840000000e-03	1.0511000000e+03	7.8328388220e+16	4.2612961900e+16	2.3680776430e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	4         	ok              	5.3690000000e-03	1.0480000000e+03	6.8206508765e+16	3.7106363805e+16	2.3680773902e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	4         	ok              	4.6620000000e-03	1.0453000000e+03	5.9377919717e+16	3.2303352440e+16	2.3680771749e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	4         	ok              	4.0480000000e-03	1.0434000000e+03	5.1651542537e+16	2.8099975962e+16	2.3680769847e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	4         	ok              	3.5150000000e-03	1.0417000000e+03	4.4923776852e+16	2.4439872850e+16	2.3680768300e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	4         	ok              	3.0520000000e-03	1.0403000000e+03	3.9058854613e+16	2.1249181582e+16	2.3680767028e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	4         	ok              	2.6500000000e-03	1.0390000000e+03	3.3956575113e+16	1.8473390187e+16	2.3680766009e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	4         	ok              	2.3000000000e-03	1.0377000000e+03	2.9508664758e+16	1.6053594772e+16	2.3680765196e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	4         	ok              	1.9970000000e-03	1.0359000000e+03	2.5665738197e+16	1.3962928327e+16	2.3680764592e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	4         	ok              	1.7340000000e-03	1.0343000000e+03	2.2320097500e+16	1.2142800096e+16	2.3680764090e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	1.5060000000e-03	1.0325000000e+03	1.9419069822e+16	1.0564554515e+16	2.3680763697e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	1.3070000000e-03	1.0308000000e+03	1.6880864480e+16	9.1836950575e+15	2.3680763367e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	1.1350000000e-03	1.0292000000e+03	1.4682147561e+16	7.9875273997e+15	2.3680763090e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	9.8560000000e-04	1.0274000000e+03	1.2771874135e+16	6.9482815864e+15	2.3680762870e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	4         	ok              	8.5570000000e-04	1.0259000000e+03	1.1104780920e+16	6.0413330597e+15	2.3680762667e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	4         	ok              	7.4300000000e-04	1.0240000000e+03	9.6601161256e+15	5.2553922231e+15	2.3680762515e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	4         	ok              	6.4510000000e-04	1.0224000000e+03	8.4003946253e+15	4.5700660622e+15	2.3680762366e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	4         	ok              	5.6010000000e-04	1.0207000000e+03	7.3056850020e+15	3.9745112887e+15	2.3680762239e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	4         	ok              	4.8630000000e-04	1.0190000000e+03	6.3536541112e+15	3.4565780082e+15	2.3680762124e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	4         	ok              	4.2230000000e-04	1.0170000000e+03	5.5283255506e+15	3.0075745795e+15	2.3680762035e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	4         	ok              	3.6660000000e-04	1.0143000000e+03	4.8119323782e+15	2.6178352546e+15	2.3680761992e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	4         	ok              	3.1830000000e-04	1.0120000000e+03	4.1874497211e+15	2.2780980015e+15	2.3680761933e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	4         	ok              	2.7640000000e-04	1.0079000000e+03	3.6510188377e+15	1.9862635387e+15	2.3680761979e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
